Transaction Date,Amount INR,Status,Gateway Fee,Description
2024-03-27,1017,SUCCESS,11,Swiggy
2024-02-27,6644,SUCCESS,31,Electricity Bill
2024-02-25,985,SUCCESS,18,UPI Payment
2024-01-01,2852,SUCCESS,75,Salary Credit
2024-01-31,121,SUCCESS,9,Salary Credit
2024-04-10,4669,PENDING,59,Client Payment
2024-04-01,3291,SUCCESS,6,Swiggy
2024-01-27,6453,SUCCESS,66,Transfer to savings
2024-01-19,2453,SUCCESS,25,Client Payment
2024-04-20,7537,SUCCESS,25,Interest Credit
2024-04-05,4899,SUCCESS,14,Client Payment
2024-01-19,786,SUCCESS,62,UPI Payment
2024-02-12,384,FAILED,43,Amazon Order
2024-02-07,4911,FAILED,9,Swiggy
2024-04-02,3847,SUCCESS,69,Refund
2024-03-13,862,FAILED,17,Razorpay Payment
2024-03-15,5446,SUCCESS,57,Client Payment
2024-02-09,5143,SUCCESS,49,Netflix
2024-03-20,2528,SUCCESS,36,Zomato
2024-02-04,2607,PENDING,40,Netflix
2024-02-29,5226,SUCCESS,64,UPI Payment
2024-01-21,128,SUCCESS,15,UPI Payment
2024-03-25,1006,SUCCESS,67,Electricity Bill
2024-03-26,3204,SUCCESS,25,Interest Credit
2024-01-22,7913,SUCCESS,56,Interest Credit
2024-04-14,7122,SUCCESS,59,Amazon Order
2024-02-29,6322,SUCCESS,30,Transfer to savings
2024-01-09,4099,SUCCESS,72,Razorpay Payment
2024-04-26,3094,SUCCESS,38,ATM Withdrawal
2024-03-29,2606,SUCCESS,56,Client Payment
2024-04-19,4765,SUCCESS,56,Netflix
2024-02-29,6202,SUCCESS,33,Zomato
2024-02-25,3709,SUCCESS,42,UPI Payment
2024-03-17,3653,SUCCESS,46,UPI Payment
2024-03-25,1553,SUCCESS,25,Amazon Order
2024-04-22,4933,PENDING,46,Zomato
2024-02-20,3456,SUCCESS,17,Zomato
2024-04-08,615,SUCCESS,68,Amazon Order
2024-03-03,6196,SUCCESS,21,UPI Payment
2024-01-21,7366,SUCCESS,13,Razorpay Payment
2024-04-22,6640,SUCCESS,45,Swiggy
2024-02-22,7756,SUCCESS,5,Swiggy
2024-04-04,138,SUCCESS,6,Amazon Order
2024-01-14,3442,SUCCESS,64,Zomato
2024-02-03,986,PENDING,52,Client Payment
2024-02-29,2944,FAILED,33,Amazon Order
2024-02-19,2304,SUCCESS,14,Razorpay Payment
2024-01-13,1198,SUCCESS,62,Amazon Order
2024-02-03,7127,FAILED,64,Salary Credit
2024-01-22,1923,SUCCESS,25,Interest Credit
2024-03-17,3301,SUCCESS,32,Netflix
2024-04-18,5906,PENDING,79,Zomato
2024-01-22,5169,SUCCESS,38,Transfer to savings
2024-02-08,3255,SUCCESS,12,Electricity Bill
2024-04-26,3193,PENDING,63,Electricity Bill
2024-04-20,3630,SUCCESS,76,Zomato
2024-04-13,5758,SUCCESS,53,Transfer to savings
2024-01-25,3878,SUCCESS,21,ATM Withdrawal
2024-04-02,2996,FAILED,64,Razorpay Payment
2024-02-04,3553,FAILED,49,Salary Credit
2024-01-11,6991,FAILED,73,Salary Credit
2024-03-05,3611,SUCCESS,36,UPI Payment
2024-02-18,7871,FAILED,48,Netflix
2024-01-21,1088,PENDING,69,Swiggy
2024-04-22,4216,SUCCESS,12,Refund
2024-03-14,6546,PENDING,76,Razorpay Payment
2024-03-14,5064,FAILED,47,Refund
2024-02-19,4126,SUCCESS,5,Refund
2024-04-16,4279,SUCCESS,55,Zomato
2024-02-12,1782,SUCCESS,28,Electricity Bill
2024-03-08,6172,SUCCESS,28,Electricity Bill
2024-04-04,7720,SUCCESS,21,Swiggy
2024-04-24,5606,SUCCESS,9,Zomato
2024-04-21,5726,FAILED,24,Refund
2024-01-20,7524,PENDING,25,Transfer to savings
2024-02-23,4765,FAILED,62,ATM Withdrawal
2024-03-29,4063,SUCCESS,35,Interest Credit
2024-02-05,1033,SUCCESS,15,Client Payment
2024-03-31,3698,SUCCESS,56,Electricity Bill
2024-01-28,3333,SUCCESS,19,Razorpay Payment
2024-04-18,2080,FAILED,11,Transfer to savings
2024-04-19,7430,PENDING,32,Razorpay Payment
2024-01-04,1955,SUCCESS,55,UPI Payment
2024-01-07,3156,PENDING,62,Amazon Order
2024-04-13,892,FAILED,9,Client Payment
2024-03-16,891,SUCCESS,9,Electricity Bill
2024-03-01,7791,FAILED,12,Salary Credit
2024-03-21,1909,SUCCESS,68,Electricity Bill
2024-04-01,5490,SUCCESS,14,Transfer to savings
2024-02-26,6735,SUCCESS,42,UPI Payment
2024-03-13,2355,SUCCESS,12,Razorpay Payment
2024-04-25,3710,SUCCESS,29,Refund
2024-02-13,1707,SUCCESS,77,Salary Credit
2024-04-03,5279,SUCCESS,70,Zomato
2024-03-29,6673,SUCCESS,54,Netflix
2024-04-08,1084,SUCCESS,71,Refund
2024-02-03,5876,SUCCESS,53,Netflix
2024-02-24,3776,SUCCESS,40,Client Payment
2024-02-28,3480,SUCCESS,72,ATM Withdrawal
2024-01-30,619,SUCCESS,45,Amazon Order
2024-01-05,690,SUCCESS,66,ATM Withdrawal
2024-03-19,1150,SUCCESS,14,Salary Credit
2024-03-16,5905,SUCCESS,25,Swiggy
2024-03-28,3733,FAILED,40,Salary Credit
2024-03-29,6231,SUCCESS,16,ATM Withdrawal
2024-02-27,6442,SUCCESS,6,Electricity Bill
2024-04-06,6630,PENDING,17,Transfer to savings
2024-01-13,4544,FAILED,57,Razorpay Payment
2024-01-06,1059,PENDING,36,Electricity Bill
2024-03-04,6159,FAILED,20,Electricity Bill
2024-02-06,792,SUCCESS,36,Transfer to savings
2024-03-09,5755,SUCCESS,36,Transfer to savings
2024-04-02,3999,SUCCESS,15,Client Payment
2024-02-17,4573,SUCCESS,14,Refund
2024-02-06,3046,SUCCESS,19,Swiggy
2024-03-07,7159,SUCCESS,21,Swiggy
2024-04-19,7825,SUCCESS,44,Electricity Bill
2024-03-21,626,FAILED,22,Netflix
2024-03-29,3324,FAILED,59,Client Payment
2024-04-18,6977,SUCCESS,77,Electricity Bill
2024-01-01,2353,FAILED,29,Amazon Order
2024-02-15,6698,SUCCESS,63,Razorpay Payment
2024-04-12,3444,FAILED,26,Transfer to savings
2024-01-24,4065,SUCCESS,34,Refund
2024-04-18,5455,PENDING,48,Zomato
2024-03-07,1975,SUCCESS,36,Transfer to savings
2024-03-02,1863,SUCCESS,55,Amazon Order
2024-03-18,620,SUCCESS,50,Netflix
2024-04-09,5897,SUCCESS,25,Salary Credit
2024-01-12,1116,SUCCESS,36,Interest Credit
2024-01-27,7199,SUCCESS,43,Salary Credit
2024-01-08,6969,SUCCESS,16,ATM Withdrawal
2024-01-15,5209,SUCCESS,51,Amazon Order
2024-04-05,6744,SUCCESS,22,ATM Withdrawal
2024-04-13,216,PENDING,25,Electricity Bill
2024-03-05,2533,SUCCESS,17,Zomato
2024-02-09,5563,SUCCESS,25,UPI Payment
2024-04-29,683,SUCCESS,12,Transfer to savings
2024-04-29,494,FAILED,50,UPI Payment
2024-04-20,5283,SUCCESS,11,Netflix
2024-04-01,3888,PENDING,27,Electricity Bill
2024-03-08,2868,FAILED,79,Swiggy
2024-04-15,4267,SUCCESS,26,Transfer to savings
2024-04-21,3960,SUCCESS,26,ATM Withdrawal
2024-03-26,373,FAILED,33,Swiggy
2024-01-26,2113,FAILED,17,Refund
2024-01-16,5539,SUCCESS,6,Zomato
2024-04-23,4533,SUCCESS,33,Zomato
2024-01-15,1489,FAILED,56,Salary Credit
2024-03-16,3666,SUCCESS,31,Client Payment
2024-02-20,4802,PENDING,54,Transfer to savings
2024-02-21,265,SUCCESS,27,ATM Withdrawal
2024-02-11,1667,SUCCESS,48,Netflix
2024-04-09,6254,FAILED,26,UPI Payment
2024-01-03,5520,SUCCESS,47,Interest Credit
2024-04-15,828,SUCCESS,41,Netflix
2024-04-18,7044,SUCCESS,65,Swiggy
2024-01-12,2143,SUCCESS,60,Swiggy
2024-02-24,4297,SUCCESS,7,Interest Credit
2024-04-12,3596,SUCCESS,67,Amazon Order
2024-04-05,5611,SUCCESS,23,Refund
2024-04-08,878,FAILED,27,Transfer to savings
2024-01-10,313,SUCCESS,33,Zomato
2024-01-30,3862,SUCCESS,34,Razorpay Payment
2024-04-20,5307,SUCCESS,43,ATM Withdrawal
2024-03-11,1676,PENDING,29,Netflix
2024-01-21,2548,FAILED,12,ATM Withdrawal
2024-02-25,6831,SUCCESS,62,Swiggy
2024-03-04,3036,SUCCESS,20,Client Payment
2024-03-22,3217,SUCCESS,76,Salary Credit
2024-01-23,5891,FAILED,5,UPI Payment
2024-01-26,7730,FAILED,9,Refund
2024-03-05,691,SUCCESS,7,Client Payment
2024-04-11,5529,FAILED,69,Refund
2024-04-18,5305,FAILED,8,Amazon Order
2024-01-30,6335,SUCCESS,68,Razorpay Payment
2024-03-01,7927,SUCCESS,14,Swiggy
2024-04-30,2820,SUCCESS,25,Salary Credit
2024-04-10,813,SUCCESS,50,Interest Credit
2024-04-12,1035,FAILED,31,Transfer to savings
2024-02-08,6147,SUCCESS,70,Interest Credit
2024-01-02,4437,SUCCESS,45,Client Payment
2024-03-01,6239,SUCCESS,17,Refund
2024-04-11,101,SUCCESS,13,Zomato
2024-01-23,6468,SUCCESS,40,Amazon Order
2024-02-08,2948,SUCCESS,62,Zomato
2024-03-11,5964,SUCCESS,58,Salary Credit
2024-03-25,4144,SUCCESS,16,Transfer to savings
2024-03-19,2049,SUCCESS,18,Transfer to savings
2024-03-21,6832,SUCCESS,38,Client Payment
2024-01-21,6359,SUCCESS,57,ATM Withdrawal
2024-03-01,7933,SUCCESS,24,Amazon Order
2024-01-08,1017,SUCCESS,79,Transfer to savings
2024-03-17,3274,SUCCESS,20,Transfer to savings
2024-04-27,2341,SUCCESS,74,Client Payment
2024-01-21,7433,SUCCESS,60,Swiggy
2024-04-01,7114,FAILED,62,Electricity Bill
2024-01-12,189,SUCCESS,8,Amazon Order
2024-03-22,1809,SUCCESS,8,Zomato
2024-04-15,2269,FAILED,24,Salary Credit
2024-03-04,4338,SUCCESS,14,Transfer to savings
2024-02-25,3141,SUCCESS,28,Transfer to savings
2024-03-30,205,PENDING,30,Razorpay Payment
2024-04-13,986,FAILED,41,Swiggy
2024-01-04,527,SUCCESS,58,Transfer to savings
2024-01-03,5524,SUCCESS,25,Electricity Bill
2024-01-12,1995,SUCCESS,78,Razorpay Payment
2024-01-06,6190,SUCCESS,42,UPI Payment
2024-03-24,416,SUCCESS,50,Swiggy
2024-04-26,6182,SUCCESS,8,Salary Credit
2024-02-08,734,SUCCESS,64,Refund
2024-03-17,2025,SUCCESS,61,Amazon Order
2024-03-17,2156,FAILED,49,Client Payment
2024-04-28,7017,SUCCESS,24,Salary Credit
2024-03-20,3244,SUCCESS,21,Amazon Order
2024-02-27,7626,SUCCESS,75,Razorpay Payment
2024-01-11,2370,SUCCESS,8,ATM Withdrawal
2024-02-24,1539,SUCCESS,18,Client Payment
2024-04-26,652,SUCCESS,7,Netflix
2024-03-06,7637,SUCCESS,62,Zomato
2024-02-13,815,SUCCESS,59,UPI Payment
2024-02-26,5483,SUCCESS,8,Swiggy
2024-02-06,4011,SUCCESS,28,Transfer to savings
2024-04-27,1813,SUCCESS,38,ATM Withdrawal
2024-01-22,6079,SUCCESS,34,ATM Withdrawal
2024-02-24,3489,PENDING,23,Salary Credit
2024-03-27,1207,SUCCESS,35,UPI Payment
2024-04-19,5537,SUCCESS,64,Refund
2024-02-18,4306,SUCCESS,64,Interest Credit
2024-01-27,350,SUCCESS,23,Amazon Order
2024-01-05,2530,PENDING,53,Amazon Order
2024-02-12,2154,SUCCESS,67,Salary Credit
2024-03-06,558,FAILED,26,Electricity Bill
2024-03-19,5303,SUCCESS,28,Electricity Bill
2024-04-30,307,SUCCESS,34,Transfer to savings
2024-01-31,999,SUCCESS,62,Netflix
2024-03-26,3561,FAILED,35,Zomato
2024-01-11,3485,SUCCESS,68,Client Payment
2024-01-24,121,SUCCESS,23,Refund
2024-02-19,509,PENDING,52,Transfer to savings
2024-02-03,994,SUCCESS,49,UPI Payment
2024-02-08,614,SUCCESS,59,Electricity Bill
2024-03-30,7394,SUCCESS,59,Netflix
2024-04-09,5004,PENDING,22,Netflix
2024-02-09,7967,SUCCESS,67,Salary Credit
2024-02-28,5069,FAILED,51,Refund
2024-03-02,4209,FAILED,79,Razorpay Payment
2024-01-09,5166,SUCCESS,61,Client Payment
2024-01-06,7221,SUCCESS,49,Zomato
2024-01-16,7257,SUCCESS,37,Swiggy
2024-03-16,7279,SUCCESS,21,Salary Credit
2024-02-03,2234,FAILED,74,Client Payment
2024-01-03,3695,FAILED,8,Swiggy
2024-03-16,3056,SUCCESS,24,Swiggy
2024-03-22,1660,SUCCESS,51,Refund
2024-03-17,5520,SUCCESS,19,Refund
2024-04-06,1366,SUCCESS,74,Transfer to savings
2024-03-12,2269,SUCCESS,51,UPI Payment
2024-01-17,7414,SUCCESS,79,Netflix
2024-02-11,3738,SUCCESS,13,Client Payment
2024-01-08,849,SUCCESS,20,Salary Credit
2024-03-12,3527,SUCCESS,73,Transfer to savings
2024-02-16,4880,SUCCESS,65,Interest Credit
2024-04-15,2027,SUCCESS,14,Amazon Order
2024-01-09,3904,FAILED,54,Salary Credit
2024-02-05,3802,SUCCESS,7,UPI Payment
2024-01-23,2456,PENDING,74,Zomato
2024-01-13,4890,FAILED,55,ATM Withdrawal
2024-02-23,2435,SUCCESS,23,ATM Withdrawal
2024-04-30,406,FAILED,46,Netflix
2024-03-20,3765,SUCCESS,39,ATM Withdrawal
2024-03-27,2089,SUCCESS,50,ATM Withdrawal
2024-03-20,7157,SUCCESS,30,Amazon Order
2024-03-15,7990,SUCCESS,73,Electricity Bill
2024-02-28,761,SUCCESS,68,Zomato
2024-04-21,4744,SUCCESS,41,Refund
2024-04-11,7619,SUCCESS,53,Swiggy
2024-02-06,411,SUCCESS,25,Electricity Bill
2024-01-18,3020,SUCCESS,78,Salary Credit
2024-04-22,1182,FAILED,68,Salary Credit
2024-02-09,7910,SUCCESS,9,ATM Withdrawal
2024-03-05,3071,SUCCESS,74,Refund
2024-03-25,5933,FAILED,8,UPI Payment
2024-02-15,854,SUCCESS,43,Client Payment
2024-03-10,4230,SUCCESS,39,Electricity Bill
2024-04-20,4640,SUCCESS,5,Electricity Bill
2024-02-08,6336,SUCCESS,28,Razorpay Payment
2024-03-03,6178,PENDING,61,Zomato
2024-03-01,5426,SUCCESS,74,Netflix
2024-02-11,452,PENDING,45,Zomato
2024-04-18,1002,SUCCESS,58,Client Payment
2024-01-28,5551,SUCCESS,50,Salary Credit
2024-01-28,3988,SUCCESS,64,Salary Credit
2024-02-17,7105,SUCCESS,64,Salary Credit
2024-01-11,5944,SUCCESS,61,Razorpay Payment
2024-03-10,258,FAILED,35,Salary Credit
2024-04-08,2077,FAILED,28,Client Payment
2024-04-30,1056,SUCCESS,40,Transfer to savings
2024-03-02,2171,PENDING,34,Refund
2024-04-18,503,FAILED,28,Interest Credit
2024-04-10,7048,SUCCESS,34,Netflix
2024-04-05,4711,SUCCESS,11,Client Payment
2024-01-30,2879,SUCCESS,39,ATM Withdrawal
2024-04-27,1487,SUCCESS,59,Transfer to savings
