Txn Date,Narration,Withdrawal Amt,Deposit Amt,Balance (INR)
2024-01-05,ATM Withdrawal,0,4114,4453
2024-03-01,Amazon Order,0,7537,55935
2024-01-18,Netflix,0,2311,44370
2024-01-18,Refund,182,0,9328
2024-04-18,UPI Payment,0,4208,16534
2024-01-19,Interest Credit,0,3559,86280
2024-02-13,Refund,0,3398,85925
2024-03-02,Zomato,1356,0,37320
2024-04-27,Netflix,0,2694,50170
2024-03-08,Netflix,0,4674,81201
2024-04-07,Netflix,3628,0,9640
2024-03-29,Salary Credit,0,3363,31049
2024-02-11,Zomato,0,24,6618
2024-03-30,Interest Credit,0,1572,57053
2024-03-19,Electricity Bill,18,0,2920
2024-04-11,Refund,3403,0,44937
2024-03-09,Interest Credit,4679,0,70724
2024-04-23,Electricity Bill,4551,0,13207
2024-01-20,Amazon Order,3004,0,66774
2024-03-26,Razorpay Payment,0,4743,33972
2024-03-18,Client Payment,3339,0,11799
2024-03-26,Client Payment,0,7295,72088
2024-01-15,Electricity Bill,0,200,29916
2024-03-11,Razorpay Payment,0,3198,71463
2024-01-15,Interest Credit,0,256,77700
2024-04-12,Razorpay Payment,0,3747,38158
2024-01-02,UPI Payment,0,4642,85607
2024-04-21,Amazon Order,173,0,72696
2024-01-07,Zomato,3741,0,62510
2024-01-12,Razorpay Payment,0,3175,59692
2024-01-19,Swiggy,0,3606,62744
2024-03-23,Transfer to savings,3760,0,16810
2024-01-10,Client Payment,0,4897,6126
2024-04-01,Swiggy,0,5037,31009
2024-03-06,Amazon Order,989,0,1192
2024-04-21,Razorpay Payment,0,7427,37413
2024-01-10,Refund,0,413,13816
2024-02-18,Client Payment,419,0,40082
2024-03-06,UPI Payment,0,1381,66048
2024-01-02,ATM Withdrawal,1774,0,51940
2024-01-16,UPI Payment,0,3426,33130
2024-01-26,Transfer to savings,935,0,41142
2024-04-25,Netflix,3808,0,37468
2024-04-28,ATM Withdrawal,0,909,31698
2024-03-28,Salary Credit,0,187,11655
2024-02-24,Razorpay Payment,2702,0,48897
2024-04-20,Amazon Order,4006,0,31075
2024-03-24,Client Payment,0,2015,10359
2024-04-23,Salary Credit,4200,0,43056
2024-01-29,Amazon Order,201,0,52831
2024-02-11,Transfer to savings,2497,0,60191
2024-03-12,Electricity Bill,1842,0,34272
2024-04-18,Razorpay Payment,0,5242,15671
2024-02-03,Zomato,0,357,28048
2024-02-13,Zomato,909,0,77274
2024-03-29,Razorpay Payment,0,5185,26963
2024-02-26,ATM Withdrawal,4658,0,44954
2024-02-09,Netflix,0,5776,73309
2024-02-23,Netflix,0,2422,1717
2024-04-22,ATM Withdrawal,3155,0,12676
2024-02-28,Interest Credit,0,7913,5434
2024-04-06,Zomato,0,7547,50810
2024-01-23,Refund,4724,0,5994
2024-04-22,ATM Withdrawal,3585,0,5234
2024-02-15,Client Payment,1628,0,70300
2024-02-11,Zomato,0,6465,44949
2024-01-20,Refund,0,4545,38405
2024-01-30,Transfer to savings,0,1497,35872
2024-04-15,Salary Credit,0,5132,43215
2024-02-29,Refund,0,6327,24185
2024-02-02,Salary Credit,0,2158,44442
2024-03-20,Amazon Order,0,6046,52759
2024-03-10,Swiggy,1856,0,42153
2024-04-23,Amazon Order,0,5409,78535
2024-03-11,Zomato,0,2342,3581
2024-04-28,Salary Credit,4669,0,52717
2024-03-05,Zomato,0,2951,3763
2024-04-21,ATM Withdrawal,1150,0,56480
2024-03-31,Razorpay Payment,0,973,39759
2024-02-14,Client Payment,0,4727,77067
2024-01-17,UPI Payment,1819,0,26307
2024-04-30,Zomato,2324,0,12064
2024-01-14,Client Payment,1130,0,77848
2024-03-18,ATM Withdrawal,0,3701,38548
2024-02-05,Refund,3500,0,37945
2024-03-18,ATM Withdrawal,0,7398,48937
2024-03-27,Transfer to savings,2120,0,7476
2024-02-26,Amazon Order,0,3878,52756
2024-04-26,Interest Credit,0,2368,3382
2024-01-21,Refund,3705,0,50683
2024-02-08,UPI Payment,0,7400,88999
2024-02-09,Salary Credit,3435,0,46276
2024-04-19,Razorpay Payment,0,436,34402
2024-04-03,Client Payment,1823,0,27946
2024-01-25,Razorpay Payment,1474,0,80698
2024-03-05,Swiggy,2242,0,74933
2024-04-29,ATM Withdrawal,3243,0,23335
2024-01-11,Zomato,3134,0,46095
2024-02-13,Salary Credit,0,7480,80930
2024-02-21,Swiggy,0,1304,28197
2024-03-17,ATM Withdrawal,2041,0,23010
2024-04-14,Electricity Bill,0,6174,25123
2024-03-02,Zomato,1635,0,88923
2024-03-26,Refund,0,182,3890
2024-01-24,Amazon Order,0,7190,9026
2024-04-29,Client Payment,0,6687,65925
2024-01-04,Interest Credit,0,5565,69842
2024-03-22,Transfer to savings,2980,0,34665
2024-01-19,UPI Payment,0,7177,10277
2024-01-04,UPI Payment,0,7651,43239
2024-01-24,Interest Credit,1591,0,48664
2024-03-01,Refund,0,1589,49008
2024-03-17,Netflix,3264,0,15683
2024-01-05,UPI Payment,0,659,1670
2024-02-15,Client Payment,3219,0,18889
2024-04-18,Refund,3273,0,56612
2024-04-14,Salary Credit,0,7181,45535
2024-04-27,UPI Payment,0,7345,79542
2024-01-07,Razorpay Payment,1442,0,55319
2024-04-18,Refund,3054,0,22639
2024-01-04,Client Payment,0,52,65712
2024-01-16,Interest Credit,4221,0,17633
2024-04-14,Razorpay Payment,4912,0,35660
2024-04-14,Zomato,0,5141,69975
2024-04-24,Zomato,0,5149,33172
2024-04-15,UPI Payment,575,0,60197
2024-02-27,Razorpay Payment,0,2307,59847
2024-03-28,Amazon Order,0,1228,12577
2024-04-12,ATM Withdrawal,0,7226,78299
2024-04-07,Zomato,0,5590,21176
2024-03-04,Amazon Order,3275,0,45386
2024-03-13,Salary Credit,4928,0,64972
2024-03-29,Refund,1054,0,42003
2024-02-03,ATM Withdrawal,0,3702,20996
2024-02-24,Swiggy,1457,0,87598
2024-04-25,Client Payment,0,4045,36931
2024-03-16,Transfer to savings,3415,0,36710
2024-04-17,Refund,442,0,35693
2024-03-19,Interest Credit,0,7927,36740
2024-03-01,ATM Withdrawal,4652,0,78241
2024-03-25,Client Payment,1178,0,77502
2024-03-24,ATM Withdrawal,0,5194,18374
2024-03-15,Razorpay Payment,1257,0,77674
2024-02-12,Salary Credit,0,5835,82471
2024-03-10,Electricity Bill,0,7728,46913
2024-02-19,Transfer to savings,2309,0,67025
2024-04-26,UPI Payment,0,5560,45516
2024-04-23,ATM Withdrawal,0,5086,88796
2024-01-25,Client Payment,4637,0,27069
2024-02-14,Client Payment,4009,0,57233
2024-02-19,Razorpay Payment,2169,0,85811
2024-01-07,Amazon Order,0,7321,60049
2024-01-10,Refund,123,0,40178
2024-04-27,Interest Credit,0,3167,33821
2024-02-25,Electricity Bill,0,3797,52727
2024-03-06,Netflix,0,2341,61935
2024-02-14,UPI Payment,796,0,17999
2024-03-23,Swiggy,4172,0,63522
2024-02-10,Netflix,0,5207,39712
2024-02-16,Refund,1936,0,65551
2024-04-26,UPI Payment,2156,0,41172
2024-04-11,Client Payment,3807,0,34722
2024-04-26,Swiggy,1301,0,11625
2024-01-17,ATM Withdrawal,0,6468,68165
2024-03-11,Amazon Order,3140,0,77509
2024-02-01,Electricity Bill,3236,0,7859
2024-01-21,ATM Withdrawal,2352,0,42609
2024-01-24,Interest Credit,0,5276,44307
2024-01-25,Amazon Order,0,667,22839
2024-01-29,Salary Credit,364,0,28216
2024-04-17,Razorpay Payment,0,4728,53953
2024-03-12,UPI Payment,0,2624,85481
2024-03-24,ATM Withdrawal,0,5738,61593
2024-01-30,Amazon Order,0,7826,73075
2024-04-23,Netflix,1439,0,50522
2024-01-14,Razorpay Payment,3180,0,5886
2024-04-12,Amazon Order,4857,0,8485
2024-04-25,Zomato,340,0,32455
2024-03-21,Salary Credit,0,5571,17767
2024-01-03,Refund,382,0,29453
2024-01-22,ATM Withdrawal,1556,0,77280
2024-02-06,Interest Credit,0,818,54442
2024-01-21,Electricity Bill,0,2188,52877
2024-03-11,Salary Credit,358,0,13226
2024-03-02,Razorpay Payment,4931,0,23588
2024-03-31,Zomato,1522,0,79976
2024-03-06,UPI Payment,0,2671,32709
2024-02-02,Netflix,1627,0,48788
2024-04-20,Electricity Bill,1303,0,89031
2024-01-04,ATM Withdrawal,0,6834,38019
2024-01-29,Electricity Bill,2186,0,45948
2024-01-17,Salary Credit,0,2448,66133
2024-02-19,Razorpay Payment,3835,0,67458
2024-04-05,UPI Payment,2151,0,28526
2024-01-10,Client Payment,0,6361,74493
2024-04-30,Interest Credit,0,1948,53198
2024-02-20,Zomato,2834,0,44395
2024-03-28,ATM Withdrawal,0,3899,25031
2024-02-01,Client Payment,0,2010,76542
2024-01-03,Netflix,0,3800,38701
2024-04-30,UPI Payment,1307,0,26939
2024-01-05,Transfer to savings,0,7094,50145
2024-02-13,Transfer to savings,2660,0,21324
2024-01-06,UPI Payment,2211,0,23867
2024-01-29,Zomato,1909,0,1203
2024-04-10,Swiggy,3730,0,17544
2024-02-04,Client Payment,0,3988,16899
