Transaction Date,Amount INR,Status,Gateway Fee,Description
2024-01-30,2948,SUCCESS,62,Zomato
2024-01-20,5964,SUCCESS,58,Salary Credit
2024-01-13,4144,SUCCESS,16,Transfer to savings
2024-03-30,2049,SUCCESS,18,Transfer to savings
2024-02-28,6832,SUCCESS,38,Client Payment
2024-02-02,6359,SUCCESS,57,ATM Withdrawal
2024-02-17,7933,SUCCESS,24,Amazon Order
2024-02-14,1017,SUCCESS,79,Transfer to savings
2024-01-06,3274,SUCCESS,20,Transfer to savings
2024-01-11,2341,SUCCESS,74,Client Payment
2024-04-17,7433,SUCCESS,60,Swiggy
2024-02-26,7114,FAILED,62,Electricity Bill
2024-03-15,189,SUCCESS,8,Amazon Order
2024-01-22,1809,SUCCESS,8,Zomato
2024-03-15,2269,FAILED,24,Salary Credit
2024-04-09,4338,SUCCESS,14,Transfer to savings
2024-01-31,3141,SUCCESS,28,Transfer to savings
2024-03-17,205,PENDING,30,Razorpay Payment
2024-01-24,986,FAILED,41,Swiggy
2024-02-08,527,SUCCESS,58,Transfer to savings
2024-02-10,5524,SUCCESS,25,Electricity Bill
2024-03-26,1995,SUCCESS,78,Razorpay Payment
2024-01-09,6190,SUCCESS,42,UPI Payment
2024-03-06,416,SUCCESS,50,Swiggy
2024-03-29,6182,SUCCESS,8,Salary Credit
2024-04-17,734,SUCCESS,64,Refund
2024-02-07,2025,SUCCESS,61,Amazon Order
2024-01-11,2156,FAILED,49,Client Payment
2024-03-24,7017,SUCCESS,24,Salary Credit
2024-03-31,3244,SUCCESS,21,Amazon Order
2024-02-22,7626,SUCCESS,75,Razorpay Payment
2024-03-03,2370,SUCCESS,8,ATM Withdrawal
2024-01-19,1539,SUCCESS,18,Client Payment
2024-04-27,652,SUCCESS,7,Netflix
2024-04-01,7637,SUCCESS,62,Zomato
2024-01-19,815,SUCCESS,59,UPI Payment
2024-04-20,5483,SUCCESS,8,Swiggy
2024-01-20,4011,SUCCESS,28,Transfer to savings
2024-03-11,1813,SUCCESS,38,ATM Withdrawal
2024-03-12,6079,SUCCESS,34,ATM Withdrawal
2024-02-16,3489,PENDING,23,Salary Credit
2024-01-30,1207,SUCCESS,35,UPI Payment
2024-01-21,5537,SUCCESS,64,Refund
2024-03-22,4306,SUCCESS,64,Interest Credit
2024-03-17,350,SUCCESS,23,Amazon Order
2024-01-08,2530,PENDING,53,Amazon Order
2024-03-17,2154,SUCCESS,67,Salary Credit
2024-02-10,558,FAILED,26,Electricity Bill
2024-02-10,5303,SUCCESS,28,Electricity Bill
2024-01-18,307,SUCCESS,34,Transfer to savings
2024-03-24,999,SUCCESS,62,Netflix
2024-01-05,3561,FAILED,35,Zomato
2024-02-03,3485,SUCCESS,68,Client Payment
2024-02-04,121,SUCCESS,23,Refund
2024-04-08,509,PENDING,52,Transfer to savings
2024-02-26,994,SUCCESS,49,UPI Payment
2024-04-07,614,SUCCESS,59,Electricity Bill
2024-03-15,7394,SUCCESS,59,Netflix
2024-03-02,5004,PENDING,22,Netflix
2024-04-22,7967,SUCCESS,67,Salary Credit
2024-01-16,5069,FAILED,51,Refund
2024-04-13,4209,FAILED,79,Razorpay Payment
2024-03-26,5166,SUCCESS,61,Client Payment
2024-01-24,7221,SUCCESS,49,Zomato
2024-03-02,7257,SUCCESS,37,Swiggy
2024-03-17,7279,SUCCESS,21,Salary Credit
2024-02-02,2234,FAILED,74,Client Payment
2024-01-01,3695,FAILED,8,Swiggy
2024-04-19,3056,SUCCESS,24,Swiggy
2024-04-20,1660,SUCCESS,51,Refund
2024-03-15,5520,SUCCESS,19,Refund
2024-04-19,1366,SUCCESS,74,Transfer to savings
2024-03-17,2269,SUCCESS,51,UPI Payment
2024-01-23,7414,SUCCESS,79,Netflix
2024-03-13,3738,SUCCESS,13,Client Payment
2024-04-23,849,SUCCESS,20,Salary Credit
2024-01-25,3527,SUCCESS,73,Transfer to savings
2024-03-01,4880,SUCCESS,65,Interest Credit
2024-03-02,2027,SUCCESS,14,Amazon Order
2024-04-04,3904,FAILED,54,Salary Credit
2024-03-16,3802,SUCCESS,7,UPI Payment
2024-03-17,2456,PENDING,74,Zomato
2024-04-17,4890,FAILED,55,ATM Withdrawal
2024-03-25,2435,SUCCESS,23,ATM Withdrawal
2024-03-06,406,FAILED,46,Netflix
2024-02-12,3765,SUCCESS,39,ATM Withdrawal
2024-04-29,2089,SUCCESS,50,ATM Withdrawal
2024-01-08,7157,SUCCESS,30,Amazon Order
2024-02-27,7990,SUCCESS,73,Electricity Bill
2024-01-02,761,SUCCESS,68,Zomato
2024-01-10,4744,SUCCESS,41,Refund
2024-01-25,7619,SUCCESS,53,Swiggy
2024-01-02,411,SUCCESS,25,Electricity Bill
2024-04-10,3020,SUCCESS,78,Salary Credit
2024-04-17,1182,FAILED,68,Salary Credit
2024-03-30,7910,SUCCESS,9,ATM Withdrawal
2024-03-18,3071,SUCCESS,74,Refund
2024-02-12,5933,FAILED,8,UPI Payment
2024-02-27,854,SUCCESS,43,Client Payment
2024-02-14,4230,SUCCESS,39,Electricity Bill
2024-03-15,4640,SUCCESS,5,Electricity Bill
2024-03-05,6336,SUCCESS,28,Razorpay Payment
2024-04-21,6178,PENDING,61,Zomato
2024-01-27,5426,SUCCESS,74,Netflix
2024-01-13,452,PENDING,45,Zomato
2024-02-23,1002,SUCCESS,58,Client Payment
2024-03-24,5551,SUCCESS,50,Salary Credit
2024-03-12,3988,SUCCESS,64,Salary Credit
2024-04-12,7105,SUCCESS,64,Salary Credit
2024-03-02,5944,SUCCESS,61,Razorpay Payment
2024-02-09,258,FAILED,35,Salary Credit
2024-02-09,2077,FAILED,28,Client Payment
2024-03-26,1056,SUCCESS,40,Transfer to savings
2024-02-04,2171,PENDING,34,Refund
2024-01-15,503,FAILED,28,Interest Credit
2024-02-18,7048,SUCCESS,34,Netflix
2024-02-10,4711,SUCCESS,11,Client Payment
2024-02-21,2879,SUCCESS,39,ATM Withdrawal
2024-02-26,1487,SUCCESS,59,Transfer to savings
